FILE;SIDE;IC_1;TO_1;IC_2;TO_2;IC_3;TO_3;IC_4;TO_4;IC_5;TO_5;IC_6;TO_6;IC_7;TO_7;IC_8;TO_8;IC_9;TO_9;IC_10;TO_10;IC_11;TO_11;IC_12;TO_12;IC_13;TO_13;IC_14;TO_14;IC_15;TO_15;IC_16;TO_16;IC_17;TO_17;IC_18;TO_18;IC_19;TO_19;IC_20;TO_20;IC_21;TO_21;IC_22;TO_22;IC_23;TO_23;IC_24;TO_24;IC_25;TO_25;IC_26;TO_26;IC_27;TO_27;IC_28;TO_28;IC_29;TO_29;IC_30;TO_30
S001_BC_Rep_1.17.xlsx;r;-1;3.058;3.456;4.057;4.455;5.056;5.454;6.055;6.439;7.034;7.398;7.999;8.384;8.964;9.349;9.922;10.3;10.87;11.24;11.83;12.22;12.8;13.19;13.76;14.15;14.72;15.11;15.69;16.07;16.65;17.02;17.6;18;18.58;18.96;19.54;19.93;20.51;20.9;21.48;21.86;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_1.17.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_2.18.xlsx;r;3.368;3.926;4.354;4.948;5.332;5.926;6.325;6.912;7.304;7.891;8.276;8.863;9.241;9.828;10.21;10.79;11.17;11.76;12.14;12.75;13.14;13.73;14.11;14.71;15.08;15.67;16.03;16.63;17;17.59;17.98;18.56;18.94;19.54;19.93;20.53;20.91;21.51;21.9;22.5;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_2.18.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_4.20.xlsx;r;3.294;3.901;4.28;4.88;5.265;5.859;6.244;6.838;7.229;7.817;8.201;8.802;9.187;9.788;10.16;10.75;11.12;11.71;12.09;12.68;13.05;13.64;14.02;13.63;15.01;15.6;15.99;16.58;16.96;17.55;17.95;18.54;18.92;19.51;19.89;20.48;20.84;21.44;21.82;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_4.20.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_5.21.xlsx;r;3.348;3.949;4.327;4.934;5.326;5.926;6.318;6.919;7.29;7.891;8.269;8.87;9.261;9.848;10.23;10.83;11.21;11.81;12.19;12.79;13.18;13.78;14.18;14.78;15.16;15.77;16.17;16.77;17.17;17.77;18.15;18.75;19.13;19.74;20.11;20.71;21.1;21.7;22.09;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_5.21.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_6.22.xlsx;r;3.186;3.78;4.178;4.779;5.164;5.765;6.149;6.757;7.128;7.722;8.107;8.687;9.065;9.653;10.03;10.62;11;11.59;11.96;12.55;12.93;13.51;13.89;14.49;14.87;15.46;15.84;16.43;16.82;17.42;17.79;18.37;18.75;19.33;19.72;20.31;20.69;21.28;21.67;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S001_BC_Rep_6.22.xlsx;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
