FILE;SIDE;IC_1;TO_1;IC_2;TO_2;IC_3;TO_3;IC_4;TO_4;IC_5;TO_5;IC_6;TO_6;IC_7;TO_7;IC_8;TO_8;IC_9;TO_9;IC_10;TO_10;IC_11;TO_11;IC_12;TO_12;IC_13;TO_13;IC_14;TO_14;IC_15;TO_15;IC_16;TO_16;IC_17;TO_17;IC_18;TO_18;IC_19;TO_19;IC_20;TO_20;IC_21;TO_21;IC_22;TO_22;IC_23;TO_23;IC_24;TO_24;IC_25;TO_25;IC_26;TO_26;IC_27;TO_27;IC_28;TO_28;IC_29;TO_29;IC_30;TO_30;IC_31;TO_31
S004_BC_Rep_1.13.xlsx;r;-1;12.6;-1;13.65;-1;14.72;-1;15.8;-1;16.89;-1;17.98;-1;19.05;-1;20.09;-1;21.16;-1;22.2;-1;23.24;-1;24.29;-1;25.33;-1;26.39;-1;27.45;-1;28.49;-1;29.53;-1;30.58;-1;31.62;-1;32.67;-1;33.72;-1;34.74;-1;35.75;-1;36.8;-1;37.83;-1;38.86;-1;39.88;-1;40.89;-1;41.96;-1;-1;-1;-1
S004_BC_Rep_2.13.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BC_Rep_1.14.xlsx;r;-1;1.64;-1;2.781;-1;3.841;-1;4.894;-1;5.947;-1;7.007;-1;8.053;-1;9.119;-1;10.21;-1;11.29;-1;12.35;-1;13.38;-1;14.42;-1;15.46;-1;16.54;-1;17.58;-1;18.62;-1;19.67;-1;20.7;-1;21.76;-1;22.81;-1;23.83;-1;24.89;-1;25.91;-1;26.96;-1;28.01;-1;29.08;-1;30.14;-1;31.21;-1;-1;-1;-1
S004_BC_Rep_2.14.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BC_Rep_3.15.xlsx;r;-1;1.208;-1;2.261;-1;3.375;-1;4.381;-1;5.427;-1;6.473;-1;7.506;-1;8.552;-1;9.558;-1;10.6;-1;11.6;-1;12.62;-1;13.66;-1;14.7;-1;15.69;-1;16.71;-1;17.73;-1;18.74;-1;19.78;-1;20.81;-1;21.84;-1;22.86;-1;23.92;-1;24.92;-1;25.93;-1;26.94;-1;27.95;-1;28.97;-1;29.99;-1;31.04;-1;32.11
S004_BC_Rep_3.15.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BC_Rep_4.16.xlsx;r;-1;1.822;-1;2.896;-1;3.875;-1;4.873;-1;5.893;-1;6.932;-1;7.992;-1;9.059;-1;10.1;-1;11.18;-1;12.22;-1;13.26;-1;14.34;-1;15.4;-1;16.46;-1;17.52;-1;18.56;-1;19.58;-1;20.61;-1;21.66;-1;22.66;-1;23.69;-1;24.73;-1;25.78;-1;26.81;-1;27.86;-1;28.91;-1;29.98;-1;31.04;-1;-1;-1;-1
S004_BC_Rep_4.16.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
S004_BC_Rep_5.17.xlsx;r;-1;2.194;-1;3.287;-1;4.3;-1;5.353;-1;6.365;-1;7.385;-1;8.397;-1;9.403;-1;10.43;-1;11.46;-1;12.5;-1;13.53;-1;14.53;-1;15.57;-1;16.57;-1;17.6;-1;18.62;-1;19.64;-1;20.66;-1;21.71;-1;22.75;-1;23.81;-1;24.82;-1;25.85;-1;26.95;-1;27.88;-1;28.9;-1;29.96;-1;31.02;-1;-1;-1;-1
S004_BC_Rep_5.17.xlsx;l;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;;-1;
