File;Side;IC_1;TO_1;IC_2;TO_2;IC_3;TO_3;IC_4;TO_4;IC_5;TO_5;IC_6;TO_6;IC_7;TO_7;IC_8;TO_8;IC_9;TO_9;IC_10;TO_10;IC_11;TO_11;IC_12;TO_12;IC_13;TO_13;IC_14;TO_14;IC_15;TO_15;IC_16;TO_16;IC_17;TO_17;IC_18;TO_18;IC_19;TO_19;IC_20;TO_20;IC_21;TO_21;IC_22;TO_22
RNW_Calcado_Confortavel_Rep_1.1;r;-1;3.058;3.456;4.057;4.455;5.056;5.454;6.055;6.439;7.034;7.398;7.999;8.384;8.964;9.349;9.922;10.3;10.87;11.24;11.83;12.22;12.8;13.19;13.76;14.15;14.72;15.11;15.69;16.07;16.65;17.02;17.6;18;18.58;18.96;19.54;19.93;20.51;20.9;21.48;21.86;-1;-1;-1
RNW_Calcado_Confortavel_Rep_1.1;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Calcado_Confortavel_Rep_2.2;r;3.368;3.926;4.354;4.948;5.332;5.926;6.325;6.912;7.304;7.891;8.276;8.863;9.241;9.828;10.21;10.79;11.17;11.76;12.14;12.75;13.14;13.73;14.11;14.71;15.08;15.67;16.03;16.63;17;17.59;17.98;18.56;18.94;19.54;19.93;20.53;20.91;21.51;21.9;22.5;-1;-1;-1;-1
RNW_Calcado_Confortavel_Rep_2.2;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Calcado_Confortavel_Rep_3.3;r;3.294;3.901;4.28;4.88;5.265;5.859;6.244;6.838;7.229;7.817;8.201;8.802;9.187;9.788;10.16;10.75;11.12;11.71;12.09;12.68;13.05;13.64;14.02;13.63;15.01;15.6;15.99;16.58;16.96;17.55;17.95;18.54;18.92;19.51;19.89;20.48;20.84;21.44;21.82;-1;-1;-1;-1;-1
RNW_Calcado_Confortavel_Rep_3.3;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Calcado_Confortavel_Rep_4.4;r;3.348;3.949;4.327;4.934;5.326;5.926;6.318;6.919;7.29;7.891;8.269;8.87;9.261;9.848;10.23;10.83;11.21;11.81;12.19;12.79;13.18;13.78;14.18;14.78;15.16;15.77;16.17;16.77;17.17;17.77;18.15;18.75;19.13;19.74;20.11;20.71;21.1;21.7;22.09;-1;-1;-1;;
RNW_Calcado_Confortavel_Rep_4.4;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Calcado_Confortavel_Rep_5.5;r;3.186;3.78;4.178;4.779;5.164;5.765;6.149;6.757;7.128;7.722;8.107;8.687;9.065;9.653;10.03;10.62;11;11.59;11.96;12.55;12.93;13.51;13.89;14.49;14.87;15.46;15.84;16.43;16.82;17.42;17.79;18.37;18.75;19.33;19.72;20.31;20.69;21.28;21.67;-1;-1;-1;-1;
RNW_Calcado_Confortavel_Rep_5.5;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_1.17;r;-1;3.193;3.584;4.172;4.576;5.15;5.549;6.122;6.521;7.115;7.52;8.087;8.491;9.072;9.47;10.04;10.43;10.98;11.38;11.95;12.35;12.93;13.32;13.91;14.3;14.89;15.27;5.84;16.23;16.81;17.19;17.77;18.16;18.73;19.12;19.69;20.08;20.63;21.04;21.61;22;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_1.17;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_2.18;r;3.294;3.875;4.273;4.853;5.258;5.832;6.23;6.811;7.209;7.79;8.201;8.782;9.173;9.754;10.16;10.75;11.13;11.7;12.11;12.68;13.09;13.66;14.07;14.63;15.02;15.59;15.98;16.56;16.95;17.53;17.93;18.49;18.88;19.45;19.86;20.43;20.83;21.39;21.79;22.35;22.75;23.31;23.71;-1
RNW_Delcalco_Confortavel_Rep_2.18;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_4.20;r;3.017;3.591;3.983;4.563;4.968;5.535;5.94;6.494;6.885;7.438;7.83;8.39;8.788;9.356;9.747;10.31;10.71;11.26;11.65;12.2;12.6;13.15;13.55;14.11;14.52;15.1;15.51;16.09;16.5;17.07;17.48;18.06;18.47;19.06;19.46;20.05;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_4.20;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_5.21;r;3.328;3.922;4.333;4.934;5.346;5.947;6.359;6.946;7.364;7.938;8.336;8.917;9.335;9.916;10.33;10.93;11.35;11.93;12.33;12.91;13.31;13.89;14.3;14.89;15.3;15.89;16.3;16.88;17.29;17.86;18.27;18.84;19.25;19.82;20.22;20.8;21.22;21.79;22.2;22.79;23.19;23.78;24.2;-1
RNW_Delcalco_Confortavel_Rep_5.21;l;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
RNW_Delcalco_Confortavel_Rep_6.22;r;-1;3.537;3.935;4.509;4.914;5.501;5.893;6.466;6.872;7.438;7.837;8.41;8.816;9.376;9.767;10.34;10.73;11.31;11.71;12.28;12.69;13.26;13.67;14.23;14.63;15.2;15.6;16.18;16.58;17.16;17.56;18.14;18.53;19.1;19.51;20.07;20.48;21.05;21.47;22.05;22.46;-1;-1;-1
